p_id,stim,type,rt
3,b,letter,306.85707045344225
3,c,letter,305.3198822152999
3,3,number,319.46634724146145
3,2,number,315.8123922638796
3,1,number,358.44367210082163
3,a,letter,276.3200102184939
3,b,letter,321.09282341317487
3,c,letter,297.59318120778823
3,3,number,354.62410491396423
3,2,number,313.8203828673412
3,1,number,328.05944587187764
3,a,letter,309.3008969205447
3,b,letter,333.20682970943744
3,c,letter,318.3500752173418
3,3,number,319.64289159578954
3,2,number,325.99832261113175
3,1,number,316.8725519276537
3,a,letter,275.66306622351897
3,b,letter,326.50163303301105
3,c,letter,273.0715813211554
3,3,number,272.7444388003088
3,2,number,305.00738611941046
3,1,number,314.97070279913436
3,a,letter,304.6758056043959
3,b,letter,328.03065013160403
3,c,letter,318.540100382188
3,3,number,314.1604136230127
3,2,number,341.26313826718905
3,1,number,324.4680806173111
3,a,letter,306.5446516041252
3,b,letter,300.4648522278468
3,c,letter,292.73356144192246
3,3,number,290.50880551544793
3,2,number,281.9042191978796
3,1,number,311.7558347944555
3,a,letter,313.0454689590069
3,b,letter,310.43964254064446
3,c,letter,302.2202922645607
3,3,number,264.2848395178935
3,2,number,340.6501025967178
3,1,number,315.40985664628556
3,a,letter,310.0333240594205
3,b,letter,315.07749087146414
3,c,letter,302.5765530558398
3,3,number,309.2573668054659
3,2,number,296.02560491961265
3,1,number,328.4620806558369
3,a,letter,261.13798088481184
3,b,letter,332.982688100294
3,c,letter,291.58575157235725
3,3,number,307.2776730665333
3,2,number,322.49985977754085
3,1,number,314.3220854954464
3,a,letter,294.98602838930407
3,b,letter,355.52879195883446
3,c,letter,343.6911117991192
3,3,number,296.7623706327133
3,2,number,329.9395156360467
3,1,number,335.290480960364
3,a,letter,329.1984921545374
3,b,letter,261.6357745048707
3,c,letter,356.5812496737673
3,3,number,339.5871472793974
3,2,number,325.64189247125984
3,1,number,295.9385479653795
3,a,letter,319.7206973490374
3,b,letter,324.1644831449287
3,c,letter,299.80317332363785
3,3,number,310.71700550416426
3,2,number,346.1570393795548
3,1,number,332.14055011321324
3,a,letter,303.9044856781319
3,b,letter,317.68226778995074
3,c,letter,305.0478908707969
3,3,number,321.4721626976801
3,2,number,300.8969014166583
3,1,number,307.9781397893767
3,a,letter,285.4557992921205
3,b,letter,343.41578742648665
3,c,letter,343.7131656656629
3,3,number,297.42102549517216
3,2,number,280.12712430134496
3,1,number,349.98310101729516
3,a,letter,287.9976973740317
3,b,letter,349.7787067096101
3,c,letter,322.7271538038449
3,3,number,290.85568486248485
3,2,number,270.94143884019985
3,1,number,329.7933642165457
3,a,letter,311.91112306454085
3,b,letter,336.881461329013
3,c,letter,303.0171070955367
3,3,number,288.02639573385335
3,2,number,351.04793667756337
3,1,number,323.1314538735628
3,a,letter,276.18150391270524
3,b,letter,315.2275122720035
3,c,letter,313.91645264716806
3,3,number,316.8085962004183
3,2,number,308.66248044165826
3,1,number,323.55620151207677
3,a,letter,322.72959140573096
3,b,letter,318.4126209510386
3,c,letter,271.32372901767775
3,3,number,301.0097134431181
3,2,number,296.8097861039049
3,1,number,267.7601039246018
3,a,letter,317.7371463392014
3,b,letter,333.29598885307365
3,c,letter,328.1543354445301
3,3,number,291.9368918278367
3,2,number,308.53014853424247
3,1,number,333.6001602722091
3,a,letter,315.06291546156996
3,b,letter,325.9025572719737
3,c,letter,340.78839735155907
3,3,number,304.76183349432756
3,2,number,323.6179163077416
3,1,number,332.76296513123964
3,a,letter,329.91179623834034
3,b,letter,306.67086292947715
3,c,letter,341.1100597753662
3,3,number,305.9318326428282
3,2,number,319.15876664211805
3,1,number,311.928567739347
3,a,letter,345.4512191067453
3,b,letter,286.9349562270707
3,c,letter,339.7245179652581
3,3,number,309.78571919598465
3,2,number,285.4623741967292
3,1,number,317.8585786438424
3,a,letter,357.2358029564467
3,b,letter,332.5055857589727
3,c,letter,262.66571232483597
3,3,number,313.7949193650618
3,2,number,308.33271297876786
3,1,number,281.4532525052529
3,a,letter,331.9177847319771
3,b,letter,321.7380553714183
