p_id,stim,type,rt
4,2,number,314.5988001551957
4,a,letter,301.8122516502488
4,1,number,340.7145335714579
4,3,number,287.45235930447046
4,b,letter,314.05354994002386
4,c,letter,308.830648566977
4,2,number,352.0099175310638
4,a,letter,316.32821247475823
4,1,number,294.4231934304071
4,3,number,297.9428327406983
4,b,letter,311.1840737978045
4,c,letter,277.5853060813944
4,2,number,346.0543400098304
4,a,letter,310.710545207106
4,1,number,304.3109428769878
4,3,number,286.6442606180191
4,b,letter,309.90556108773427
4,c,letter,284.4416988503468
4,2,number,351.8383077819637
4,a,letter,331.16412515981557
4,1,number,334.9623167260235
4,3,number,317.2382665125697
4,b,letter,304.9105252760905
4,c,letter,308.63102422373186
4,2,number,298.6271072642551
4,a,letter,316.64885784705365
4,1,number,321.2329577005225
4,3,number,326.2200106290326
4,b,letter,317.61363049645985
4,c,letter,326.66909630476044
4,2,number,287.58082721873984
4,a,letter,297.2696751001955
4,1,number,298.85624223434604
4,3,number,325.51807745922054
4,b,letter,338.8511423235062
4,c,letter,318.121513417835
4,2,number,294.2600347380826
4,a,letter,344.78819013770544
4,1,number,328.2041500474871
4,3,number,299.270453682101
4,b,letter,299.7785030384098
4,c,letter,291.21773312110986
4,2,number,311.10006798526933
4,a,letter,315.576756028644
4,1,number,305.66157763724
4,3,number,311.04321504039876
4,b,letter,381.5001555816282
4,c,letter,307.9391290453328
4,2,number,323.0920191762836
4,a,letter,307.2914592759891
4,1,number,335.15540265523805
4,3,number,288.78969297894463
4,b,letter,311.391980446833
4,c,letter,278.0907923262075
4,2,number,306.15782472787254
4,a,letter,315.14306719085226
4,1,number,336.47209694799807
4,3,number,315.1202633372955
4,b,letter,341.0391978123322
4,c,letter,284.84045437900414
4,2,number,290.6113967377174
4,a,letter,291.26289636162056
4,1,number,293.55709471158457
4,3,number,284.1799106653821
4,b,letter,362.5260766554364
4,c,letter,294.0846754434661
4,2,number,285.62456275821785
4,a,letter,319.7448369643759
4,1,number,328.0920462495716
4,3,number,299.0900437497435
4,b,letter,312.2788118534037
4,c,letter,334.78357650929996
4,2,number,282.6591410182192
4,a,letter,317.0538479338309
4,1,number,299.2496036871747
4,3,number,328.1490621629404
4,b,letter,297.3362741322508
4,c,letter,287.1063989216545
4,2,number,328.2202213973493
4,a,letter,326.86008747233996
4,1,number,321.5078453944935
4,3,number,281.8639051855809
4,b,letter,311.33977266966497
4,c,letter,264.97624018163424
4,2,number,333.7641738486603
4,a,letter,328.216740034854
4,1,number,268.2370661560814
4,3,number,305.44284777620936
4,b,letter,288.71777643003344
4,c,letter,281.2057023992309
4,2,number,315.67982943657074
4,a,letter,334.17452945178053
4,1,number,331.96134711847594
4,3,number,318.5363841472153
4,b,letter,312.2788816009781
4,c,letter,318.9170364189432
4,2,number,350.6636390368387
4,a,letter,299.23930567284583
4,1,number,301.76936684964625
4,3,number,299.6789333526946
4,b,letter,333.3633398342912
4,c,letter,318.3779493482868
4,2,number,297.3092963391208
